Metric,PSI,Status,Feature
output_score_PSI,0.0059,STABLE,
,0.018,STABLE,bin_loan_amnt
,0.0003,STABLE,bin_term
,0.0138,STABLE,bin_int_rate
,0.0105,STABLE,bin_grade
,0.0317,STABLE,bin_sub_grade
,0.0073,STABLE,bin_home_ownership
,0.0054,STABLE,bin_annual_inc
,0.0232,STABLE,bin_verification_status
,0.0038,STABLE,bin_dti
,0.0349,STABLE,bin_fico_range_low
,0.0293,STABLE,bin_tot_cur_bal
,0.0369,STABLE,bin_total_rev_hi_lim
,0.0243,STABLE,bin_acc_open_past_24mths
,0.0288,STABLE,bin_avg_cur_bal
,0.1038,MINOR SHIFT,bin_bc_open_to_buy
,0.1535,MINOR SHIFT,bin_bc_util
,0.0333,STABLE,bin_mo_sin_old_rev_tl_op
,0.0174,STABLE,bin_mo_sin_rcnt_rev_tl_op
,0.0076,STABLE,bin_mo_sin_rcnt_tl
,0.0091,STABLE,bin_mort_acc
,0.0472,STABLE,bin_num_actv_rev_tl
