Feature,Bin,WoE,Coefficient,Points
loan_amnt,"(10000.0, 15000.0]",-0.057,-0.634,-1
loan_amnt,"(15000.0, 21000.0]",-0.1598,-0.634,-3
loan_amnt,"(21000.0, 40000.0]",-0.1838,-0.634,-3
loan_amnt,"(499.999, 7000.0]",0.2728,-0.634,5
loan_amnt,"(7000.0, 10000.0]",0.1481,-0.634,3
term, 36 months,0.289,-0.5504,5
term, 60 months,-0.6936,-0.5504,-11
int_rate,"(11.53, 13.98]",0.0846,0.1249,0
int_rate,"(13.98, 16.99]",-0.2938,0.1249,1
int_rate,"(16.99, 30.99]",-0.8293,0.1249,3
int_rate,"(5.319, 8.9]",1.2307,0.1249,-4
int_rate,"(8.9, 11.53]",0.4407,0.1249,-2
grade,A,1.3489,-0.0207,1
grade,B,0.4841,-0.0207,0
grade,C,-0.1369,-0.0207,0
grade,D,-0.5589,-0.0207,0
grade,E,-0.9369,-0.0207,-1
grade,F,-1.2097,-0.0207,-1
grade,G,-1.4006,-0.0207,-1
sub_grade,A1,2.0077,-0.719,42
sub_grade,A2,1.6092,-0.719,33
sub_grade,A3,1.4547,-0.719,30
sub_grade,A4,1.2086,-0.719,25
sub_grade,A5,1.0092,-0.719,21
sub_grade,B1,0.7694,-0.719,16
sub_grade,B2,0.671,-0.719,14
sub_grade,B3,0.5249,-0.719,11
sub_grade,B4,0.3576,-0.719,7
sub_grade,B5,0.2239,-0.719,5
sub_grade,C1,0.0741,-0.719,2
sub_grade,C2,-0.0423,-0.719,-1
sub_grade,C3,-0.1458,-0.719,-3
sub_grade,C4,-0.2829,-0.719,-6
sub_grade,C5,-0.3221,-0.719,-7
sub_grade,D1,-0.4213,-0.719,-9
sub_grade,D2,-0.5248,-0.719,-11
sub_grade,D3,-0.5609,-0.719,-12
sub_grade,D4,-0.6636,-0.719,-14
sub_grade,D5,-0.706,-0.719,-15
sub_grade,E1,-0.8331,-0.719,-17
sub_grade,E2,-0.8928,-0.719,-19
sub_grade,E3,-0.9518,-0.719,-20
sub_grade,E4,-1.022,-0.719,-21
sub_grade,E5,-1.0778,-0.719,-22
sub_grade,F1,-1.0791,-0.719,-22
sub_grade,F2,-1.2118,-0.719,-25
sub_grade,F3,-1.212,-0.719,-25
sub_grade,F4,-1.3311,-0.719,-28
sub_grade,F5,-1.3828,-0.719,-29
sub_grade,G1,-1.3487,-0.719,-28
sub_grade,G2,-1.327,-0.719,-28
sub_grade,G3,-1.4516,-0.719,-30
sub_grade,G4,-1.5046,-0.719,-31
sub_grade,G5,-1.5331,-0.719,-32
home_ownership,ANY,-0.2659,-0.5938,-5
home_ownership,MORTGAGE,0.1679,-0.5938,3
home_ownership,NONE,0.2864,-0.5938,5
home_ownership,OTHER,0.061,-0.5938,1
home_ownership,OWN,-0.0398,-0.5938,-1
home_ownership,RENT,-0.1758,-0.5938,-3
annual_inc,"(-0.001, 42000.0]",-0.2004,-0.6242,-4
annual_inc,"(100000.0, 9550000.0]",0.306,-0.6242,6
annual_inc,"(42000.0, 56000.0]",-0.1088,-0.6242,-2
annual_inc,"(56000.0, 73000.0]",-0.0312,-0.6242,-1
annual_inc,"(73000.0, 100000.0]",0.1026,-0.6242,2
verification_status,Not Verified,0.3766,-0.1942,2
verification_status,Source Verified,-0.0704,-0.1942,0
